,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,geometry
467,Chengtangcun,Chengtangcun,35.0833,117.15,China,CN,CHN,Shandong,,1603659.0,1156883901,POINT (117.15 35.0833)
293,Rizhao,Rizhao,35.4164,119.4331,China,CN,CHN,Shandong,minor,2720000.0,1156032841,POINT (119.4331 35.4164)
553,Xintai,Xintai,35.91,117.78,China,CN,CHN,Shandong,,1315942.0,1156761230,POINT (117.78 35.91)
676,Mizhou,Mizhou,35.99,119.3801,China,CN,CHN,Shandong,minor,1060000.0,1156935002,POINT (119.3801 35.99)
108,Qingdao,Qingdao,36.1167,120.4,China,CN,CHN,Shandong,minor,5775000.0,1156112588,POINT (120.4 36.1167)
575,Laiwu,Laiwu,36.1833,117.6667,China,CN,CHN,Shandong,,1248636.0,1156207332,POINT (117.6667 36.1833)
119,Tai’an,Tai'an,36.2001,117.0809,China,CN,CHN,Shandong,,5499000.0,1156095188,POINT (117.0809 36.2001)
57,Jinan,Jinan,36.6667,116.9833,China,CN,CHN,Shandong,admin,7967400.0,1156972469,POINT (116.9833 36.6667)
44,Weifang,Weifang,36.7167,119.1,China,CN,CHN,Shandong,,9373000.0,1156912965,POINT (119.1 36.7167)
171,Zibo,Zibo,36.7831,118.0497,China,CN,CHN,Shandong,,4530597.0,1156381094,POINT (118.0497 36.7831)
533,Pingdu,Pingdu,36.7833,119.9556,China,CN,CHN,Shandong,,1378900.0,1156157078,POINT (119.9556 36.7833)
686,Shouguang,Shouguang,36.8833,118.7333,China,CN,CHN,Shandong,,1039205.0,1156787809,POINT (118.7333 36.8833)
210,Binzhou,Binzhou,37.3806,118.0125,China,CN,CHN,Shandong,,3779200.0,1156564962,POINT (118.0125 37.3806)
83,Yantai,Yantai,37.3997,121.2664,China,CN,CHN,Shandong,,6968202.0,1156932948,POINT (121.2664 37.3997)
428,Shengli,Shengli,37.45,118.4667,China,CN,CHN,Shandong,minor,1790000.0,1156672254,POINT (118.4667 37.45)
65,Cangzhou,Cangzhou,38.3037,116.8452,China,CN,CHN,Hebei,,7544300.0,1156698069,POINT (116.8452 38.3037)
37,Tianjin,Tianjin,39.1467,117.2056,China,CN,CHN,Tianjin,admin,10800000.0,1156174046,POINT (117.2056 39.1467)
703,Wafangdian,Wafangdian,39.6271,121.9972,China,CN,CHN,Liaoning,,1024876.0,1156476417,POINT (121.9972 39.6271)
79,Tangshan,Tangshan,39.6292,118.1742,China,CN,CHN,Hebei,,7100000.0,1156904299,POINT (118.1742 39.6292)
246,Qinhuangdao,Qinhuangdao,39.9398,119.5881,China,CN,CHN,Hebei,,3146300.0,1156091093,POINT (119.5881 39.9398)
336,Dandong,Dandong,40.1167,124.3833,China,CN,CHN,Liaoning,,2400000.0,1156178316,POINT (124.3833 40.1167)
349,Yingkou,Yingkou,40.6653,122.2297,China,CN,CHN,Liaoning,minor,2220000.0,1156257074,POINT (122.2297 40.6653)
290,Huludao,Huludao,40.7094,120.8378,China,CN,CHN,Liaoning,minor,2787000.0,1156580218,POINT (120.8378 40.7094)
329,Lianshan,Lianshan,40.7503,120.83,China,CN,CHN,Liaoning,minor,2426000.0,1156046704,POINT (120.83 40.7503)
561,Haicheng,Haicheng,40.8523,122.7474,China,CN,CHN,Liaoning,minor,1293877.0,1156052713,POINT (122.7474 40.8523)
221,Chengde,Chengde,40.9739,117.9322,China,CN,CHN,Hebei,,3610000.0,1156197800,POINT (117.9322 40.9739)
219,Anshan,Anshan,41.1066,122.9895,China,CN,CHN,Liaoning,,3645884.0,1156901825,POINT (122.9895 41.1066)
260,Jinzhou,Jinzhou,41.1144,121.1292,China,CN,CHN,Liaoning,,3000000.0,1156157151,POINT (121.1292 41.1144)
76,Nanning,Nanning,22.8192,108.315,China,CN,CHN,Guangxi,admin,7153300.0,1156605439,POINT (108.315 22.8192)
313,Yunfu,Yunfu,22.9242,112.0353,China,CN,CHN,Guangdong,minor,2526900.0,1156057251,POINT (112.0353 22.9242)
58,Foshan,Foshan,23.0292,113.1056,China,CN,CHN,Guangdong,minor,7905700.0,1156738403,POINT (113.1056 23.0292)
56,Dongguan,Dongguan,23.0475,113.7493,China,CN,CHN,Guangdong,minor,7981000.0,1156478242,POINT (113.7493 23.0475)
195,Zhaoqing,Zhaoqing,23.05,112.4667,China,CN,CHN,Guangdong,minor,4151700.0,1156170144,POINT (112.4667 23.05)
197,Guigang,Guigang,23.0961,109.6092,China,CN,CHN,Guangxi,,4118808.0,1156895251,POINT (109.6092 23.0961)
208,Hechi,Hechi,23.0965,109.6091,China,CN,CHN,Guangxi,,3830000.0,1156868701,POINT (109.6091 23.0965)
158,Huizhou,Huizhou,23.1115,114.4152,China,CN,CHN,Guangdong,minor,4830000.0,1156203268,POINT (114.4152 23.1115)
9,Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,Guangdong,admin,20902000.0,1156237133,POINT (113.259 23.1288)
368,Puning,Puning,23.2993,116.1586,China,CN,CHN,Guangdong,,2118200.0,1156756494,POINT (116.1586 23.2993)
132,Shantou,Shantou,23.3735,116.6941,China,CN,CHN,Guangdong,minor,5319028.0,1156457499,POINT (116.6941 23.3735)
494,Guiping,Guiping,23.4,110.0833,China,CN,CHN,Guangxi,minor,1496904.0,1156165517,POINT (110.0833 23.4)
279,Wuzhou,Wuzhou,23.4833,111.3167,China,CN,CHN,Guangxi,minor,2882200.0,1156620133,POINT (111.3167 23.4833)
98,Jieyang,Jieyang,23.5533,116.3649,China,CN,CHN,Guangdong,minor,6089400.0,1156260378,POINT (116.3649 23.5533)
299,Chaozhou,Chaozhou,23.67,116.63,China,CN,CHN,Guangdong,minor,2656600.0,1156549118,POINT (116.63 23.67)
